"generator","value","test"
"rand()",0.77798187,"diehardbirthdays"
"rand()",0.77805163,"diehardoperm5"
"rand()",0.0,"diehardrank32x32"
"rand()",0.33539556,"diehardrank6x8"
"rand()",0.0,"diehardbitstream"
"rand()",0.25581034,"diehardopso"
"rand()",0.88991963,"diehardoqso"
"rand()",0.0,"dieharddna"
"rand()",0.0,"diehardcount1sstr"
"rand()",0.0,"diehardcount1sbyt"
"rand()",0.0,"diehardparkinglot"
"rand()",0.0,"diehard2dsphere"
"rand()",0.0,"diehard3dsphere"
"rand()",0.0,"diehardsqueeze"
"rand()",0.0,"diehardsums"
"rand()",0.79338389,"diehardruns"
"rand()",0.0,"diehardcraps"
"rand()",0.0,"marsagliatsanggcd"
"rand()",0.0,"stsmonobit"
"rand()",0.0,"stsruns"
"rand()",0.0,"stsserial"
"rand()",0.0,"rgbbitdist"
"Mersenne",0.45147138,"diehardbirthdays"
"Mersenne",0.69607618,"diehardoperm5"
"Mersenne",0.85981358,"diehardrank32x32"
"Mersenne",0.42226451,"diehardrank6x8"
"Mersenne",0.58769831,"diehardbitstream"
"Mersenne",0.25032842,"diehardopso"
"Mersenne",0.39452423,"diehardoqso"
"Mersenne",0.10489982,"dieharddna"
"Mersenne",0.9822154,"diehardcount1sstr"
"Mersenne",0.60468106,"diehardcount1sbyt"
"Mersenne",0.78148856,"diehardparkinglot"
"Mersenne",0.9771141,"diehard2dsphere"
"Mersenne",0.87744534,"diehard3dsphere"
"Mersenne",0.88793557,"diehardsqueeze"
"Mersenne",0.84744756,"diehardsums"
"Mersenne",0.69696354,"diehardruns"
"Mersenne",0.3906175,"diehardcraps"
"Mersenne",0.80756474,"marsagliatsanggcd"
"Mersenne",0.9792793,"stsmonobit"
"Mersenne",0.44167854,"stsruns"
"Mersenne",0.53670356,"stsserial"
"Mersenne",0.42450528,"rgbbitdist"
"Parisi",0.99298037,"diehardbirthdays"
"Parisi",0.57700663,"diehardoperm5"
"Parisi",0.25006856,"diehardrank32x32"
"Parisi",0.99099839,"diehardrank6x8"
"Parisi",0.47283337,"diehardbitstream"
"Parisi",0.32690586,"diehardopso"
"Parisi",0.11213205,"diehardoqso"
"Parisi",0.56864535,"dieharddna"
"Parisi",0.04749207,"diehardcount1sstr"
"Parisi",0.020676,"diehardcount1sbyt"
"Parisi",0.35955403,"diehardparkinglot"
"Parisi",0.86656341,"diehard2dsphere"
"Parisi",0.67729253,"diehard3dsphere"
"Parisi",0.92759964,"diehardsqueeze"
"Parisi",0.90264575,"diehardsums"
"Parisi",0.06846611,"diehardruns"
"Parisi",0.98312026,"diehardcraps"
"Parisi",0.15047973,"marsagliatsanggcd"
"Parisi",0.49533581,"stsmonobit"
"Parisi",0.77021754,"stsruns"
"Parisi",0.30774783,"stsserial"
"Parisi",0.29655434,"rgbbitdist"
"urandom",0.98661661,"diehardbirthdays"
"urandom",0.97395944,"diehardoperm5"
"urandom",0.32911572,"diehardrank32x32"
"urandom",0.29919422,"diehardrank6x8"
"urandom",0.59593074,"diehardbitstream"
"urandom",0.99882142,"diehardopso"
"urandom",0.69691232,"diehardoqso"
"urandom",0.91507214,"dieharddna"
"urandom",0.0314117,"diehardcount1sstr"
"urandom",0.0227703,"diehardcount1sbyt"
"urandom",0.40756286,"diehardparkinglot"
"urandom",0.79222547,"diehard2dsphere"
"urandom",0.51452466,"diehard3dsphere"
"urandom",0.73919529,"diehardsqueeze"
"urandom",0.56030728,"diehardsums"
"urandom",0.99999754,"diehardruns"
"urandom",0.93221284,"diehardcraps"
"urandom",0.95279822,"marsagliatsanggcd"
"urandom",0.97838676,"stsmonobit"
"urandom",0.70077385,"stsruns"
"urandom",0.0102036,"stsserial"
"urandom",0.13467538,"rgbbitdist"
